Ticker,Sector,Latest_Headline,Forecast_Score,Forecast_Direction,Actual_Direction,Actual_Return_Pct,Streak_Days,Streak_Return,Momentum,Date,News_Source,News_Time,Headline_Count,Severity,Impact,Signal_Quality,News_URL,Technical_Score,Tech_Signals,Fundamental_Score,Fund_Concern,Macro_Score,Macro_Context,Composite_Score,Composite_Direction,Composite_Severity,BT_Swing,BT_1M,BT_3M,BT_6M,BT_1M_N,BT_Total_Preds,BT_Forward_Days,BT_Threshold,BT_Category,Est_Horizon,BT_ATR_Pct,BT_SL_Level,TR_total_trades,TR_wins,TR_losses,TR_win_rate,TR_avg_win_pct,TR_avg_loss_pct,TR_profit_factor,TR_total_return_pct,TR_avg_holding_days,TR_long_trades,TR_short_trades,TR_long_win_rate,TR_short_win_rate,TR_stop_loss_exits,TR_signal_flip_exits,Tech_Score,News_Score,Fund_Score,Direction_Label,Horizon,Category,Hit,BT_Accuracy,BT_PF,BT_Trades,BT_Signal_Rate,N_Catalysts,News_Direction,Corrected,BT_Avg_SL,Momentum_Direction
MCX,,,,,,3.1,,,,2026-06-16,,,,,,,,,,,,-1.9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,89.2,5.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
NMDC,,,,,,-2.2,,,,2026-06-16,,,,,,,,,,,,-1.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
NATIONALUM,,,,,,-4.21,,,,2026-06-16,,,,,,,,,,,,-1.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
NAVINFLUOR,,,,,,0.32,,,,2026-06-16,,,,,,,,,,,,-1.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
NETWEB,,,,,,5.04,,,,2026-06-16,,,,,,,,,,,,2.6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
OBEROIRLTY,,,,,,7.0,,,,2026-06-16,,,,,,,,,,,,4.4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
ONGC,,,,,,1.58,,,,2026-06-16,,,,,,,,,,,,-9.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.8,15.0,NEUTRAL,,MEGA,,,,,,,,,,0.0
OFSS,,,,,,2.23,,,,2026-06-16,,,,,,,,,,,,2.6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
PAGEIND,,,,,,-1.03,,,,2026-06-16,,,,,,,,,,,,3.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
PATANJALI,,,,,,0.01,,,,2026-06-16,,,,,,,,,,,,-1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
RRKABEL,,,,,,0.09,,,,2026-06-16,,,,,,,,,,,,5.1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,NEUTRAL,,LARGE,,,,,,,,,,0.0
SARDAEN,,,,,,2.27,,,,2026-06-16,,,,,,,,,,,,-1.2,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9.0,NEUTRAL,,MID,,,,,,,,,,0.0
SOLARINDS,,,,,,-3.42,,,,2026-06-16,,,,,,,,,,,,-1.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,NEUTRAL,,MEGA,,,,,,,,,,0.0
TBOTEK,,,,,,-3.18,,,,2026-06-16,,,,,,,,,,,,3.3,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,NEUTRAL,,MID,,,,,,,,,,0.0
TCS,,,,,,2.18,,,,2026-06-16,,,,,,,,,,,,2.6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-21.1,10.0,NEUTRAL,,MEGA,,,,,,,,,,0.0
